Id,Failure,Success
5816,0.859504132231,0.140495867769
5817,0.380165289256,0.619834710744
5818,0.619834710744,0.380165289256
5819,0.710743801653,0.289256198347
5820,0.520661157025,0.479338842975
5821,0.355371900826,0.644628099174
5822,0.429752066116,0.570247933884
5823,0.528925619835,0.471074380165
5824,0.553719008264,0.446280991736
5825,0.586776859504,0.413223140496
5826,0.867768595041,0.132231404959
5827,0.768595041322,0.231404958678
5828,0.512396694215,0.487603305785
5829,0.785123966942,0.214876033058
5830,0.388429752066,0.611570247934
5831,0.520661157025,0.479338842975
5832,0.545454545455,0.454545454545
5833,0.570247933884,0.429752066116
5834,0.603305785124,0.396694214876
5835,0.512396694215,0.487603305785
5836,0.644628099174,0.355371900826
5837,0.537190082645,0.462809917355
5838,0.537190082645,0.462809917355
5839,0.611570247934,0.388429752066
5840,0.652892561983,0.347107438017
5841,0.520661157025,0.479338842975
5842,0.404958677686,0.595041322314
5843,0.735537190083,0.264462809917
5844,0.619834710744,0.380165289256
5845,0.512396694215,0.487603305785
5846,0.619834710744,0.380165289256
5847,0.595041322314,0.404958677686
5848,0.388429752066,0.611570247934
5849,0.355371900826,0.644628099174
5850,0.628099173554,0.371900826446
5851,0.644628099174,0.355371900826
5852,0.685950413223,0.314049586777
5853,0.446280991736,0.553719008264
5854,0.404958677686,0.595041322314
5855,0.512396694215,0.487603305785
5856,0.611570247934,0.388429752066
5857,0.380165289256,0.619834710744
5858,0.619834710744,0.380165289256
5859,0.619834710744,0.380165289256
5860,0.603305785124,0.396694214876
5861,0.776859504132,0.223140495868
5862,0.595041322314,0.404958677686
5863,0.628099173554,0.371900826446
5864,0.619834710744,0.380165289256
5865,0.413223140496,0.586776859504
5866,0.595041322314,0.404958677686
5867,0.586776859504,0.413223140496
5868,0.619834710744,0.380165289256
5869,0.685950413223,0.314049586777
5870,0.743801652893,0.256198347107
5871,0.520661157025,0.479338842975
5872,0.388429752066,0.611570247934
5873,0.404958677686,0.595041322314
5874,0.578512396694,0.421487603306
5875,0.528925619835,0.471074380165
5876,0.512396694215,0.487603305785
5877,0.752066115702,0.247933884298
5878,0.512396694215,0.487603305785
5879,0.446280991736,0.553719008264
5880,0.520661157025,0.479338842975
5881,0.669421487603,0.330578512397
5882,0.595041322314,0.404958677686
5883,0.355371900826,0.644628099174
5884,0.611570247934,0.388429752066
5885,0.446280991736,0.553719008264
5886,0.446280991736,0.553719008264
5887,0.355371900826,0.644628099174
5888,0.619834710744,0.380165289256
5889,0.586776859504,0.413223140496
5890,0.603305785124,0.396694214876
5891,0.628099173554,0.371900826446
5892,0.413223140496,0.586776859504
5893,0.743801652893,0.256198347107
5894,0.512396694215,0.487603305785
5895,0.603305785124,0.396694214876
5896,0.446280991736,0.553719008264
5897,0.355371900826,0.644628099174
5898,0.636363636364,0.363636363636
5899,0.578512396694,0.421487603306
